id,expression_id,referenced_word_id,start,length
79636,8214,8214,0,4
79637,19244,19244,0,4
79638,30422,30422,0,7
79639,32459,32459,0,5
79640,32483,32483,0,5
79641,32533,32533,0,12
79642,32649,32649,0,13
79643,32663,32663,0,10
79644,32913,32913,0,4
79645,33048,33048,0,9
79646,33240,33240,0,13
79647,33279,33279,0,8
79648,33432,33432,0,4
79649,33558,33558,0,11
79650,34310,34310,0,8
79651,35466,35466,0,15
79652,40079,40079,0,15
79653,53528,53528,0,12
79654,57586,57586,0,6
79655,58135,58135,0,17
79656,59728,97,0,4
79657,59728,97,5,5
79658,59737,52,0,2
79659,59737,2797,3,8
79660,59738,513,0,6
79661,59738,231,7,4
79662,59739,513,0,6
79663,59739,80,7,4
79664,59740,513,0,6
79665,59740,233,7,5
79666,59741,119,0,6
79667,59741,7,7,3
79668,59745,5,0,2
79669,59745,58,3,5
79670,59745,67,9,4
79671,59762,1575,0,5
79672,59762,790,6,10
79673,59767,10,0,1
79674,59767,8,2,3
79675,59841,59840,0,8
79676,59890,13606,0,10
79677,59890,59889,11,12
79678,59895,1089,0,11
79679,59895,1340,12,11
79680,59907,59906,0,11
79681,59907,32436,12,4
79682,59916,6263,0,9
79683,59916,1999,10,8
79684,59962,545,0,6
79685,59962,5989,9,12
79686,59983,1350,0,6
79687,59983,19720,7,6
79688,60012,11272,0,7
79689,60012,153,8,5
79690,60028,16013,0,8
79691,60028,1387,9,5
79692,60035,9564,0,5
79693,60035,43,6,3
79694,60036,9564,0,5
79695,60036,43,6,3
79696,60036,7256,10,8
79697,60044,26,0,3
79698,60044,14,4,3
79699,60052,6306,0,9
79700,60052,100,10,3
79701,60058,3,0,2
79702,60058,636,3,7
79703,60060,29,0,2
79704,60061,59750,0,3
79705,60061,2142,4,7
79706,60064,19,0,1
79707,60064,1348,2,9
79708,60065,38,0,5
79709,60065,27,6,2
79710,60066,26,0,3
79711,60066,27,4,2
79712,60068,1672,0,7
79713,60068,702,8,9
79714,60082,2951,0,5
79715,60087,179,0,8
79716,60087,3701,9,6
79717,60088,821,0,5
79718,60088,132,6,6
79719,60089,255,0,6
79720,60089,3701,7,6
79721,60093,29,0,2
79722,60093,92,3,6
79723,60093,52,10,2
79724,60093,127,13,3
79725,60095,30643,0,5
79726,60095,10914,6,6
79727,60101,52,0,2
79728,60101,440,3,7
79729,60116,10,0,1
79730,60116,627,2,3
79731,60116,1888,6,5
79732,60128,726,0,4
79733,60128,1043,5,6
79734,60130,1,0,1
79735,60130,554,7,8
79736,60132,1016,0,6
79737,60133,2595,0,3
79738,60133,663,4,4
79739,60134,16,0,2
79740,60134,1831,3,9
79741,60134,10,13,1
79742,60137,996,0,8
79743,60137,5,9,2
79744,60139,52,0,2
79745,60139,6334,3,3
79746,60143,2790,0,4
79747,60143,20849,5,6
79748,60144,2790,0,4
79749,60144,7165,5,8
79750,60148,774,0,12
79751,60148,7145,13,5
79752,60170,5,7,2
79753,60170,127,10,4
79754,60183,17244,0,5
79755,60183,3433,6,6
79756,60185,6628,5,6
79757,60203,39,0,6
79758,60203,7,7,3
79759,60204,1711,0,6
79760,60204,19,7,1
79761,60204,326,9,6
79762,60211,71,0,2
79763,60211,7,3,3
79764,60211,292,7,1
79765,60212,14,0,3
79766,60212,39,4,6
79767,60213,440,0,6
79768,60213,32343,7,5
79769,60214,33,0,1
79770,60241,64,0,4
79771,60241,3,5,2
79772,60262,8,6,4
79773,60285,5,0,2
79774,60285,223,3,5
79775,60303,5,0,2
79776,60303,432,3,4
79777,60304,16,0,2
79778,60312,80,0,4
79779,60312,1547,5,8
79780,60314,6579,0,2
79781,60314,24,3,2
79782,60344,14,4,3
79783,60374,143,2,5
79784,60374,143,8,6
79785,60433,32343,0,5
79786,60433,513,6,7
79787,60434,32343,0,5
79788,60434,116,6,8
79789,60443,60443,0,7
79790,60444,16,0,2
79791,60444,757,3,7
79792,60448,855,0,5
79793,60448,5,6,2
79794,60448,15997,9,7
79795,60465,56,3,5
79796,60466,427,0,5
79797,60466,7,6,3
79798,60527,2585,0,7
79799,60560,5341,0,4
79800,60560,10,5,1
79801,60560,14024,7,8
79802,60560,4104,16,8
79803,60598,56864,0,13
79804,60598,1250,14,5
79805,60606,143,2,5
79806,60615,26,0,3
79807,60615,54,4,3
79808,60615,576,8,5
79809,60618,13213,0,8
79810,60618,988,9,6
79811,60627,321,0,5
79812,60627,5,6,2
79813,60627,40,9,4
79814,60628,137,0,5
79815,60628,5,6,2
79816,60628,40,9,4
79817,60629,261,2,5
79818,60629,4837,8,9
79819,60638,4457,0,7
79820,60638,3034,8,8
79821,60639,4457,0,7
79822,60639,861,8,5
79823,60640,18406,0,9
79824,60640,167,10,3
79825,60642,658,0,4
79826,60658,60658,0,9
79827,60659,48,4,2
79828,60659,9,7,3
79829,60670,14,0,3
79830,60670,1384,10,5
79831,90569,2512,0,5
79832,90569,126,6,2
79833,90569,24700,9,6
79834,90571,3492,2,9
79835,90571,162,12,6
79836,90577,795,0,5
79837,90577,21,6,2
79838,90577,1718,9,5
79839,90579,565,0,6
79840,90579,15313,7,5
79841,90622,79,0,6
79842,90622,408,7,6
79843,90625,175,2,4
79844,90625,2098,7,10
79845,90626,2579,0,9
79846,90626,6232,10,12
79847,90627,56,4,8
79848,90638,10,0,1
79849,90638,2175,10,8
79850,90665,4089,0,7
79851,90665,1,8,1
79852,90665,1196,10,9
79853,90669,20882,0,9
79854,90669,601,10,3
79855,90670,40,6,4
79856,90671,40,6,4
